,Similarity,Mutations,Mutation_Freq,Transitions,Transversions,TT_ratio,Gaps,Insertions,Deletions,CDS_Similarity,CDS_Mutations,CDS_Mutation_Freq,CDS_Transitions,CDS_Transversions,CDS_TT_ratio,CDS_Gaps,CDS_Insertions,CDS_Deletions,nonCDS_Similarity,nonCDS_Mutations,nonCDS_Mutation_Freq,nonCDS_Transitions,nonCDS_Transversions,nonCDS_TT_ratio,nonCDS_Gaps,nonCDS_Insertions,nonCDS_Deletions
MERS_1,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0
MERS_2,0.9952532696010091,143,0.004746730398990905,84,25,3.36,34,0,34,0.9963214005926633,108,0.0036785994073367623,83,25,3.32,0,0,0,0.954367666232073,35,0.04563233376792699,1,0,0,34,0,34
MERS_3,0.9929296952798248,213,0.0070703047201752635,91,29,3.1379310344827585,93,0,93,0.9959807895364283,118,0.004019210463571648,89,29,3.0689655172413794,0,0,0,0.8761408083441982,95,0.12385919165580182,2,0,0,93,0,93
MERS_4,0.9924317864967138,228,0.007568213503286198,101,34,2.9705882352941178,93,0,93,0.9955039340576995,132,0.004496065942300487,98,34,2.8823529411764706,0,0,0,0.8748370273794003,96,0.12516297262059975,3,0,0,93,0,93
MERS_5,0.9928633074420766,215,0.007136692557923388,111,38,2.9210526315789473,66,0,66,0.9950270785789707,146,0.004972921421029327,108,38,2.8421052631578947,0,0,0,0.910039113428944,69,0.08996088657105607,3,0,0,66,0,66
MERS_6,0.9914027750116179,259,0.008597224988382128,125,38,3.289473684210526,96,5,91,0.9944480397833714,163,0.005551960216628632,121,37,3.27027027027027,5,5,0,0.8748370273794003,96,0.12516297262059975,4,1,4.0,91,0,91
MERS_7,0.9917679081192325,248,0.008232091880767444,131,40,3.275,77,11,66,0.9942436731496305,169,0.005756326850369563,129,40,3.225,0,0,0,0.8970013037809648,79,0.10299869621903521,2,0,0,77,11,66
MERS_8,0.9910044479851291,271,0.008995552014870876,145,38,3.8157894736842106,88,0,88,0.9939030620933955,179,0.006096937906604448,141,38,3.710526315789474,0,0,0,0.8800521512385919,92,0.11994784876140809,4,0,0,88,0,88
MERS_9,0.9926641439288323,221,0.007335856071167762,137,35,3.914285714285714,49,0,49,0.9943117953608774,167,0.005688204639122586,132,35,3.7714285714285714,0,0,0,0.9295958279009127,54,0.07040417209908735,5,0,0,49,0,49
MERS_10,0.9919338777136029,243,0.008066122286397132,141,46,3.0652173913043477,56,46,10,0.9938008787765251,182,0.006199121223474914,136,46,2.9565217391304346,0,0,0,0.9204693611473272,61,0.07953063885267275,5,0,0,56,46,10
