,Similarity,Mutations,Mutation_Freq,Transitions,Transversions,TT_ratio,Gaps,Insertions,Deletions,CDS_Similarity,CDS_Mutations,CDS_Mutation_Freq,CDS_Transitions,CDS_Transversions,CDS_TT_ratio,CDS_Gaps,CDS_Insertions,CDS_Deletions,nonCDS_Similarity,nonCDS_Mutations,nonCDS_Mutation_Freq,nonCDS_Transitions,nonCDS_Transversions,nonCDS_TT_ratio,nonCDS_Gaps,nonCDS_Insertions,nonCDS_Deletions
COVID_1,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0
COVID_2,0.9987626659532488,37,0.001237334046751162,4,1,4.0,32,32,0,0.9998283674310037,5,0.00017163256899629275,4,1,4.0,0,0,0,0.9584954604409858,32,0.041504539559014265,0,0,0,32,32,0
COVID_3,0.9961207905561315,116,0.003879209443868508,11,2,5.5,103,103,0,0.999588081834409,12,0.00041191816559110257,10,2,5.0,0,0,0,0.8651102464332037,104,0.13488975356679636,1,0,0,103,103,0
COVID_4,0.9955188442631174,134,0.004481155736882587,8,5,1.6,121,121,0,0.9996224083482081,11,0.000377591651791844,7,4,1.75,0,0,0,0.8404669260700389,123,0.15953307392996108,1,1,1.0,121,121,0
COVID_5,0.9964886466240845,105,0.00351135337591546,15,4,3.75,86,86,0,0.9993821227516133,18,0.0006178772483866539,14,4,3.5,0,0,0,0.8871595330739299,87,0.11284046692607004,1,0,0,86,86,0
COVID_6,0.9993311707855399,20,0.0006688292144600876,16,4,4.0,0,0,0,0.9994164492654126,17,0.0005835507345873953,14,3,4.666666666666667,0,0,0,0.9961089494163424,3,0.0038910505836575876,2,1,2.0,0,0,0
COVID_7,0.9983948098852958,48,0.0016051901147042104,19,6,3.1666666666666665,23,23,0,0.9991761636688178,24,0.0008238363311822051,18,6,3.0,0,0,0,0.9688715953307393,24,0.0311284046692607,1,0,0,23,23,0
COVID_8,0.9983613684245728,49,0.0016386315754272148,25,11,2.272727272727273,13,13,0,0.9985239599066319,43,0.0014760400933681176,22,9,2.4444444444444446,12,12,0,0.9922178988326849,6,0.007782101167315175,3,2,1.5,1,1,0
COVID_9,0.9966558539276995,100,0.003344146072300438,24,15,1.6,61,61,0,0.9985926129342304,41,0.0014073870657696004,22,13,1.6923076923076923,6,6,0,0.9234760051880675,59,0.07652399481193256,2,2,1.0,55,55,0
COVID_10,0.9938133297662441,185,0.006186670233755811,30,16,1.875,139,139,0,0.99814636825484,54,0.0018536317451599616,28,14,2.0,12,12,0,0.8300907911802853,131,0.16990920881971466,2,2,1.0,127,127,0
