#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
viral segment Unknown,,266,21555,+,,,,,,
viral segment Unknown,,21563,25384,+,,,,,,
viral segment Unknown,,25393,26220,+,,,,,,
viral segment Unknown,,26245,26472,+,,,,,,
viral segment Unknown,,26523,27191,+,,,,,,
viral segment Unknown,,27202,27387,+,,,,,,
viral segment Unknown,,27394,27759,+,,,,,,
viral segment Unknown,,27894,28259,+,,,,,,
viral segment Unknown,,28274,29533,+,,,,,,
viral segment Unknown,,29558,29674,+,,,,,,
