,Similarity,Mutations,Mutation_Freq,Transitions,Transversions,TT_ratio,Gaps,Insertions,Deletions,CDS_Similarity,CDS_Mutations,CDS_Mutation_Freq,CDS_Transitions,CDS_Transversions,CDS_TT_ratio,CDS_Gaps,CDS_Insertions,CDS_Deletions,nonCDS_Similarity,nonCDS_Mutations,nonCDS_Mutation_Freq,nonCDS_Transitions,nonCDS_Transversions,nonCDS_TT_ratio,nonCDS_Gaps,nonCDS_Insertions,nonCDS_Deletions
12/?/2019_01,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0
12/?/2019_02,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0
1/5/2020_03,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0
1/29/2020_04,0.9991642150307569,25,0.0008357849692431132,3,1,3.0,21,21,0,0.999862693944803,4,0.0001373060551970342,3,1,3.0,0,0,0,0.9730769230769231,21,0.026923076923076925,0,0,0,21,21,0
2/6/2020_05,0.9991642150307569,25,0.0008357849692431132,4,0,0,21,21,0,0.9998970204586022,3,0.00010297954139777564,3,0,0,0,0,0,0.9717948717948718,22,0.028205128205128206,1,0,0,21,21,0
2/29/2020_06,0.9987630382455202,37,0.0012369617544798074,4,1,4.0,32,32,0,0.9998283674310037,5,0.00017163256899629275,4,1,4.0,0,0,0,0.958974358974359,32,0.041025641025641026,0,0,0,32,32,0
3/16/2020_07,0.9841200855843808,475,0.01587991441561915,5,0,0,470,462,8,0.9930660442125497,202,0.006933955787450227,5,0,0,197,197,0,0.65,273,0.35,0,0,0,273,265,8
3/23/2020_08,0.9976598020861193,70,0.002340197913880717,7,4,1.75,59,59,0,0.9997940409172045,6,0.00020595908279555128,5,1,5.0,0,0,0,0.9179487179487179,64,0.08205128205128205,2,3,0.6666666666666666,59,59,0
4/6/2020_09,0.9910738165284836,267,0.008926183471516448,6,1,6.0,260,260,0,0.9997597144034052,7,0.00024028559659480984,6,1,6.0,0,0,0,0.6666666666666667,260,0.3333333333333333,0,0,0,260,260,0
4/23/2020_10,0.9987964696442899,36,0.0012035303557100829,6,2,3.0,28,28,0,0.9997940409172045,6,0.00020595908279555128,4,2,2.0,0,0,0,0.9615384615384616,30,0.038461538461538464,2,0,0,28,28,0
5/5/2020_11,0.996121957742712,116,0.003878042257288045,11,2,5.5,103,103,0,0.999588081834409,12,0.00041191816559110257,10,2,5.0,0,0,0,0.8666666666666667,104,0.13333333333333333,1,0,0,103,103,0
5/15/2020_12,0.9977935276811982,66,0.002206472318801819,9,3,3.0,54,54,0,0.9996224083482081,11,0.000377591651791844,8,3,2.6666666666666665,0,0,0,0.9294871794871795,55,0.07051282051282051,1,0,0,54,54,0
6/16/2020_13,0.9994985290184542,15,0.0005014709815458679,11,4,2.75,0,0,0,0.9995194288068103,14,0.0004805711931896197,10,4,2.5,0,0,0,0.9987179487179487,1,0.001282051282051282,1,0,0,0,0,0
6/25/2020_14,0.9949518587857716,151,0.005048141214228403,9,1,9.0,141,141,0,0.9996910613758067,9,0.00030893862419332694,8,1,8.0,0,0,0,0.8179487179487179,142,0.18205128205128204,1,0,0,141,141,0
7/6/2020_15,0.9969243113131854,92,0.0030756886868146564,9,2,4.5,81,81,0,0.9996910613758067,9,0.00030893862419332694,7,2,3.5,0,0,0,0.8935897435897436,83,0.1064102564102564,2,0,0,81,81,0
7/22/2020_16,0.9955201925648569,134,0.004479807435143086,8,5,1.6,121,121,0,0.9996224083482081,11,0.000377591651791844,7,4,1.75,0,0,0,0.8423076923076923,123,0.1576923076923077,1,1,1.0,121,121,0
8/6/2020_17,0.9953530355710083,139,0.004646964428991709,13,5,2.6,121,121,0,0.9994164492654126,17,0.0005835507345873953,12,5,2.4,0,0,0,0.8435897435897436,122,0.1564102564102564,1,0,0,121,121,0
8/18/2020_18,0.9969243113131854,92,0.0030756886868146564,12,0,0,80,80,0,0.9996224083482081,11,0.000377591651791844,11,0,0,0,0,0,0.8961538461538462,81,0.10384615384615385,1,0,0,80,80,0
9/16/2020_19,0.9963894089328698,108,0.0036105910671302486,18,3,6.0,87,87,0,0.9993477962378141,19,0.0006522037621859124,16,3,5.333333333333333,0,0,0,0.8858974358974359,89,0.1141025641025641,2,0,0,87,87,0
9/30/2020_20,0.9957876437550147,126,0.00421235624498529,4,1,4.0,121,121,0,0.999862693944803,4,0.0001373060551970342,3,1,3.0,0,0,0,0.8435897435897436,122,0.1564102564102564,1,0,0,121,121,0
10/18/2020_21,0.996489703129179,105,0.003510296870821075,15,4,3.75,86,86,0,0.9993821227516133,18,0.0006178772483866539,14,4,3.5,0,0,0,0.8884615384615384,87,0.11153846153846154,1,0,0,86,86,0
10/28/2020_22,0.9994650976196844,16,0.0005349023803155924,11,5,2.2,0,0,0,0.9995194288068103,14,0.0004805711931896197,10,4,2.5,0,0,0,0.9974358974358974,2,0.002564102564102564,1,1,1.0,0,0,0
11/2/2020_23,0.997091468307034,87,0.0029085316929660337,14,6,2.3333333333333335,67,67,0,0.9993477962378141,19,0.0006522037621859124,13,6,2.1666666666666665,0,0,0,0.9128205128205128,68,0.08717948717948718,1,0,0,67,67,0
