,Similarity,Mutations,Mutation_Freq,Transitions,Transversions,TT_ratio,Gaps,Insertions,Deletions,CDS_Similarity,CDS_Mutations,CDS_Mutation_Freq,CDS_Transitions,CDS_Transversions,CDS_TT_ratio,CDS_Gaps,CDS_Insertions,CDS_Deletions,nonCDS_Similarity,nonCDS_Mutations,nonCDS_Mutation_Freq,nonCDS_Transitions,nonCDS_Transversions,nonCDS_TT_ratio,nonCDS_Gaps,nonCDS_Insertions,nonCDS_Deletions
sequence_2003,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0
sequence_2004,0.9618257261410789,598,0.038174273858921165,440,76,5.7894736842105265,82,81,1,0.9677330581355349,469,0.03226694186446508,401,68,5.897058823529412,0,0,0,0.8858407079646018,129,0.11415929203539824,39,8,4.875,82,81,1
sequence_2006,0.9789977657197574,329,0.02100223428024258,215,55,3.909090909090909,59,58,1,0.9834881320949432,240,0.016511867905056758,190,50,3.8,0,0,0,0.9212389380530973,89,0.07876106194690266,25,5,5.0,59,58,1
sequence_2008,0.9703798276412384,464,0.02962017235876157,342,63,5.428571428571429,59,58,1,0.9753009975920193,359,0.024699002407980737,306,53,5.773584905660377,0,0,0,0.9070796460176991,105,0.09292035398230089,36,10,3.6,59,58,1
sequence_2010,0.9766358123204596,366,0.023364187679540377,249,58,4.293103448275862,59,58,1,0.9808737530099759,278,0.01912624699002408,224,54,4.148148148148148,0,0,0,0.9221238938053098,88,0.07787610619469026,25,4,6.25,59,58,1
sequence_2012,0.9745292052345994,399,0.025470794765400574,250,94,2.6595744680851063,55,54,1,0.9791537667698659,303,0.02084623323013416,221,82,2.6951219512195124,0,0,0,0.9150442477876106,96,0.08495575221238938,29,12,2.4166666666666665,55,54,1
sequence_2014,0.974784551548037,395,0.025215448451962975,275,65,4.230769230769231,55,54,1,0.9792225662194702,302,0.020777433780529757,246,56,4.392857142857143,0,0,0,0.9176991150442477,93,0.08230088495575222,29,9,3.2222222222222223,55,54,1
sequence_2016,0.9641238429620173,562,0.03587615703798276,384,80,4.8,98,9,89,0.9719986240110079,407,0.028001375988992088,345,62,5.564516129032258,0,0,0,0.8628318584070797,155,0.13716814159292035,39,18,2.1666666666666665,98,9,89
sequence_2019,0.9637408234918609,568,0.03625917650813917,326,92,3.5434782608695654,150,1,149,0.9772273821809425,331,0.02277261781905745,276,55,5.0181818181818185,0,0,0,0.7902654867256638,237,0.2097345132743363,50,37,1.3513513513513513,150,1,149
sequence_2021,0.972231088413661,435,0.02776891158633897,326,64,5.09375,45,44,1,0.9761265909872721,347,0.023873409012727897,289,58,4.982758620689655,0,0,0,0.9221238938053098,88,0.07787610619469026,37,6,6.166666666666667,45,44,1
