#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"viral segment","KP144330.1",770,1000,"+",,,"CSPAdV-3_gp01","ALB78158.1",76,"hypothetical protein CSPAdV-3_gp01"
"viral segment","KP144330.1",1007,2107,"-",,,"CSPAdV-3_gp02","ALB78159.1",366,"IVa2"
"viral segment","KP144330.1",2097,5423,"-",,,"CSPAdV-3_gp03","ALB78160.1",1108,"DNA polymerase"
"viral segment","KP144330.1",5420,7279,"-",,,"CSPAdV-3_gp04","ALB78161.1",619,"terminal protein precursor"
"viral segment","KP144330.1",7228,8124,"+",,,"CSPAdV-3_gp05","ALB78162.1",298,"52K protein"
"viral segment","KP144330.1",8114,9655,"+",,,"CSPAdV-3_gp06","ALB78163.1",513,"pIIIa protein"
"viral segment","KP144330.1",9677,11020,"+",,,"CSPAdV-3_gp07","ALB78164.1",447,"penton base protein"
"viral segment","KP144330.1",11021,11419,"+",,,"CSPAdV-3_gp08","ALB78165.1",132,"core protein precursor pVII"
"viral segment","KP144330.1",11423,11596,"+",,,"CSPAdV-3_gp09","ALB78166.1",57,"core protein precursor pX"
"viral segment","KP144330.1",11615,12286,"+",,,"CSPAdV-3_gp10","ALB78167.1",223,"pVI protein"
"viral segment","KP144330.1",12295,15054,"+",,,"CSPAdV-3_gp11","ALB78168.1",919,"hexon protein"
"viral segment","KP144330.1",15054,15692,"+",,,"CSPAdV-3_gp12","ALB78169.1",212,"protease"
"viral segment","KP144330.1",15693,16903,"-",,,"CSPAdV-3_gp13","ALB78170.1",383,"DBP"
"viral segment","KP144330.1",16948,18906,"+",,,"CSPAdV-3_gp14","ALB78171.1",652,"100K protein"
"viral segment","KP144330.1",18613,19404,"+",,,"CSPAdV-3_gp15","ALB78172.1",120,"33K protein"
"viral segment","KP144330.1",18613,18906,"+",,,"CSPAdV-3_gp16","ALB78173.1",97,"22K protein"
"viral segment","KP144330.1",19483,20115,"+",,,"CSPAdV-3_gp17","ALB78174.1",210,"pVIII protein"
"viral segment","KP144330.1",19997,20887,"+",,,"CSPAdV-3_gp18","ALB78175.1",296,"E3 protein"
"viral segment","KP144330.1",20897,21157,"-",,,"CSPAdV-3_gp19","ALB78176.1",86,"U exon"
"viral segment","KP144330.1",21164,22489,"+",,,"CSPAdV-3_gp20","ALB78177.1",441,"fiber protein"
"viral segment","KP144330.1",22844,23515,"+",,,"CSPAdV-3_gp21","ALB78178.1",223,"ORF7"
"viral segment","KP144330.1",23549,24052,"-",,,"CSPAdV-3_gp22","ALB78179.1",167,"ORF8"
