,Similarity,Mutations,Mutation_Freq,Transitions,Transversions,TT_ratio,Gaps,Insertions,Deletions,CDS_Similarity,CDS_Mutations,CDS_Mutation_Freq,CDS_Transitions,CDS_Transversions,CDS_TT_ratio,CDS_Gaps,CDS_Insertions,CDS_Deletions,nonCDS_Similarity,nonCDS_Mutations,nonCDS_Mutation_Freq,nonCDS_Transitions,nonCDS_Transversions,nonCDS_TT_ratio,nonCDS_Gaps,nonCDS_Insertions,nonCDS_Deletions
12/?/2019_02,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0
1/5/2020_03,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0,0,0,0,0,0
1/29/2020_04,0.9991642150307569,25,0.0008357849692431132,3,1,3.0,21,21,0,0.999862693944803,4,0.0001373060551970342,3,1,3.0,0,0,0,0.9730769230769231,21,0.026923076923076925,0,0,0,21,21,0
2/6/2020_05,0.9995319604172238,14,0.0004680395827761434,7,1,7.0,6,3,3,0.9997597144034052,7,0.00024028559659480984,6,1,6.0,0,0,0,0.9910256410256411,7,0.008974358974358974,1,0,0,6,3,3
2/29/2020_06,0.9993313720246055,20,0.0006686279753944905,8,1,8.0,11,11,0,0.999725387889606,8,0.0002746121103940684,7,1,7.0,0,0,0,0.9846153846153847,12,0.015384615384615385,1,0,0,11,11,0
3/16/2020_07,0.9832843006151377,500,0.016715699384862264,9,1,9.0,490,456,34,0.9928944116435535,207,0.007105588356446519,9,1,9.0,197,197,0,0.6243589743589744,293,0.37564102564102564,0,0,0,293,259,34
3/23/2020_08,0.9840197913880717,478,0.015980208611928323,10,1,10.0,467,36,431,0.9928600851297542,208,0.007139914870245778,10,1,10.0,197,0,197,0.6538461538461539,270,0.34615384615384615,0,0,0,270,36,234
4/6/2020_09,0.9912409735223322,262,0.008759026477667825,5,2,2.5,255,228,27,0.9997597144034052,7,0.00024028559659480984,5,2,2.5,0,0,0,0.6730769230769231,255,0.3269230769230769,0,0,0,255,228,27
4/23/2020_10,0.990538914148168,283,0.00946108585183204,4,3,1.3333333333333333,276,22,254,0.9997597144034052,7,0.00024028559659480984,4,3,1.3333333333333333,0,0,0,0.6461538461538461,276,0.35384615384615387,0,0,0,276,22,254
5/5/2020_11,0.9970580369082642,88,0.002941963091735758,9,4,2.25,75,75,0,0.999588081834409,12,0.00041191816559110257,8,4,2.0,0,0,0,0.9025641025641026,76,0.09743589743589744,1,0,0,75,75,0
5/15/2020_12,0.9978603904787376,64,0.0021396095212623694,12,3,4.0,49,0,49,0.9994851022930111,15,0.0005148977069888782,12,3,4.0,0,0,0,0.9371794871794872,49,0.06282051282051282,0,0,0,49,0,49
6/16/2020_13,0.9976263706873496,71,0.0023736293126504415,12,5,2.4,54,0,54,0.9994164492654126,17,0.0005835507345873953,12,5,2.4,0,0,0,0.9307692307692308,54,0.06923076923076923,0,0,0,54,0,54
6/25/2020_14,0.9951190157796203,146,0.004880984220379781,2,3,0.6666666666666666,141,141,0,0.9998283674310037,5,0.00017163256899629275,2,3,0.6666666666666666,0,0,0,0.8192307692307692,141,0.18076923076923077,0,0,0,141,141,0
7/6/2020_15,0.9976263706873496,71,0.0023736293126504415,8,3,2.6666666666666665,60,0,60,0.9996567348620075,10,0.0003432651379925855,7,3,2.3333333333333335,0,0,0,0.9217948717948719,61,0.0782051282051282,1,0,0,60,0,60
7/22/2020_16,0.9981278416688955,56,0.0018721583311045735,9,7,1.2857142857142858,40,40,0,0.9995194288068103,14,0.0004805711931896197,8,6,1.3333333333333333,0,0,0,0.9461538461538461,42,0.05384615384615385,1,1,1.0,40,40,0
8/6/2020_17,0.9992310778282963,23,0.0007689221717036641,13,10,1.3,0,0,0,0.9992448166964163,22,0.000755183303583688,13,9,1.4444444444444444,0,0,0,0.9987179487179487,1,0.001282051282051282,0,1,0.0,0,0,0
8/18/2020_18,0.9979272532762771,62,0.0020727467237229204,16,5,3.2,41,0,41,0.9992791432102156,21,0.0007208567897844294,16,5,3.2,0,0,0,0.9474358974358974,41,0.052564102564102565,0,0,0,41,0,41
9/16/2020_19,0.9989301952393688,32,0.0010698047606311847,22,3,7.333333333333333,7,7,0,0.9991761636688178,24,0.0008238363311822051,21,3,7.0,0,0,0,0.9897435897435898,8,0.010256410256410256,1,0,0,7,7,0
9/30/2020_20,0.9982615672639743,52,0.0017384327360256753,14,4,3.5,34,34,0,0.9994164492654126,17,0.0005835507345873953,13,4,3.25,0,0,0,0.9551282051282052,35,0.04487179487179487,1,0,0,34,34,0
10/18/2020_21,0.9982949986627441,51,0.0017050013372559509,11,5,2.2,35,0,35,0.9994507757792118,16,0.0005492242207881368,11,5,2.2,0,0,0,0.9551282051282052,35,0.04487179487179487,0,0,0,35,0,35
10/28/2020_22,0.9990973522332174,27,0.0009026477667825622,18,9,2.0,0,0,0,0.9991075106412193,26,0.0008924893587807223,18,8,2.25,0,0,0,0.9987179487179487,1,0.001282051282051282,0,1,0.0,0,0,0
11/2/2020_23,0.9990639208344477,28,0.0009360791655522868,17,11,1.5454545454545454,0,0,0,0.99907318412742,27,0.0009268158725799808,17,10,1.7,0,0,0,0.9987179487179487,1,0.001282051282051282,0,1,0.0,0,0,0
11/14/2020_24,0.9977266648836587,68,0.002273335116341268,8,6,1.3333333333333333,54,54,0,0.9995194288068103,14,0.0004805711931896197,8,6,1.3333333333333333,0,0,0,0.9307692307692308,54,0.06923076923076923,0,0,0,54,54,0
12/1/2020_25,0.9966234287242578,101,0.003376571275742177,15,7,2.142857142857143,79,0,79,0.9992448166964163,22,0.000755183303583688,15,7,2.142857142857143,0,0,0,0.8987179487179487,79,0.10128205128205128,0,0,0,79,0,79
12/22/2020_26,0.9988299010430597,35,0.0011700989569403584,24,11,2.1818181818181817,0,0,0,0.9988672250446244,33,0.001132774955375532,23,10,2.3,0,0,0,0.9974358974358974,2,0.002564102564102564,1,1,1.0,0,0,0
1/9/2021_27,0.9989301952393688,32,0.0010698047606311847,25,7,3.5714285714285716,0,0,0,0.9990045310998215,29,0.000995468900178498,24,5,4.8,0,0,0,0.9961538461538462,3,0.0038461538461538464,1,2,0.5,0,0,0
1/9/2021_28,0.9966234287242578,101,0.003376571275742177,26,7,3.7142857142857144,68,47,21,0.9989015515584238,32,0.0010984484415762735,26,6,4.333333333333333,0,0,0,0.9115384615384615,69,0.08846153846153847,0,1,0.0,68,47,21
2/13/2021_29,0.9985290184541321,44,0.001470981545867879,23,9,2.5555555555555554,12,1,11,0.9989702045860223,30,0.0010297954139777564,23,7,3.2857142857142856,0,0,0,0.982051282051282,14,0.017948717948717947,0,2,0.0,12,1,11
2/26/2021_30,0.9958879379513239,123,0.004112062048676117,29,20,1.45,74,19,55,0.9977687766030482,65,0.0022312233969518057,29,18,1.6111111111111112,18,18,0,0.9256410256410257,58,0.07435897435897436,0,2,0.0,56,1,55
3/9/2021_31,0.9960885263439422,117,0.003911473656057769,28,17,1.6470588235294117,72,23,49,0.9978374296306467,63,0.0021625703693532883,28,17,1.6470588235294117,18,0,18,0.9307692307692308,54,0.06923076923076923,0,0,0,54,23,31
3/18/2021_32,0.9977935276811982,66,0.002206472318801819,29,18,1.6111111111111112,19,19,0,0.9977687766030482,65,0.0022312233969518057,29,18,1.6111111111111112,18,18,0,0.9987179487179487,1,0.001282051282051282,0,0,0,1,1,0
4/2/2021_33,0.9975595078898101,73,0.0024404921101898905,32,22,1.4545454545454546,19,0,19,0.9975971440340519,70,0.002402855965948098,32,20,1.6,18,0,18,0.9961538461538462,3,0.0038461538461538464,0,2,0.0,1,0,1
4/27/2021_34,0.9978269590799679,65,0.002173040920032094,35,17,2.0588235294117645,13,13,0,0.9979747356858437,59,0.002025264314156254,34,13,2.6153846153846154,12,12,0,0.9923076923076923,6,0.007692307692307693,1,4,0.25,1,1,0
5/6/2021_35,0.9968240171168762,95,0.00317598288312383,42,23,1.826086956521739,30,18,12,0.9968762872442675,91,0.0031237127557325276,41,20,2.05,30,18,12,0.9948717948717949,4,0.005128205128205128,1,3,0.3333333333333333,0,0,0
5/17/2021_36,0.9968240171168762,95,0.00317598288312383,42,23,1.826086956521739,30,12,18,0.9969106137580668,90,0.0030893862419332694,40,20,2.0,30,12,18,0.9935897435897436,5,0.00641025641025641,2,3,0.6666666666666666,0,0,0
6/9/2021_37,0.9969911741107248,90,0.0030088258892752074,39,21,1.8571428571428572,30,18,12,0.997082246327063,85,0.0029177536729369765,36,19,1.894736842105263,30,18,12,0.9935897435897436,5,0.00641025641025641,3,2,1.5,0,0,0
6/17/2021_38,0.9992645092270661,22,0.0007354907729339395,15,7,2.142857142857143,0,0,0,0.9992448166964163,22,0.000755183303583688,15,7,2.142857142857143,0,0,0,1.0,0,0.0,0,0,0,0,0,0
7/4/2021_39,0.9965231345279486,104,0.0034768654720513507,46,28,1.6428571428571428,30,12,18,0.9965673486200741,100,0.0034326513799258548,44,26,1.6923076923076923,30,12,18,0.9948717948717949,4,0.005128205128205128,2,2,1.0,0,0,0
